Hallo!,;,Hi!
Mir ist langweilig,;,I‘m bored
Sei ruhig!,;,Be quiet!
Verschwinde!,;,Get lost!
Was hast Du?,;,What‘s wrong with you?
Spinnst Du?,;,Are you crazy?
Lass mich in Ruhe!,;,Leave me alone!
Ich vermisse dich,;,I miss you
Ich liebe dich,;,I love you
Ich mag dich/Ich habe dich gern,;,I like you
Hast Du morgen Abend Zeit?,;,Are you free tomorrow evening?
Ich möchte Dich zum Abendessen einladen.,;,I would like to invite you to dinner
Du siehst schön aus!,;,You look beautiful!
Kannst Du mir mehr über Dich erzählen?,;,Can you tell me more about you?
Ich bin Single,;,I‘m single
Ich bin verheiratet,;,I‘m married
Interessiert mich nicht!,;,I‘m not interested!
Kann ich deine Telefonnummer haben?,;,Can I have your phone number?
Möchtest Du spazieren gehen?,;,Would you like to go for a walk?
Ich mache nur Spaß,;,I‘m just kidding
Ich meine es Ernst.,;,I‘m serious
Ich bin Vegetarier,;,I‘m vegetarian
Ich bin ein Veganer,;,I‘m a vegan
Ich esse kein Schweinefleisch!,;,I don‘t eat pork!
Ich trinke keinen Alkohol,;,I don‘t drink alcohol
Liebe Güte!,;,My God!
Ach je!,;,Oh gosh!
Mist!,;,It sucks!
Das ist ein hohes Gebäude,;,That is a tall building
Ich habe einen sehr alten Mann getroffen,;,I met a very old man
Das alte rote Gebäude ist hier,;,The old red building is here
Das ist ein sehr schönes Kleid,;,That's a very nice dress
